物品id,名称,皮肤,类型,贵重,值,说明,,,,,,,,,,,,,,,,,,,,,,,,,,
113,黑玉断续膏,113,0,0,HP=3500,黑色的盒装膏药，名贵药物，名医精制。#r#Y恢复#RHP+3500,,,,,,,,,,,,,,,,,,,,,,,,,,
114,金创药,114,0,0,HP=4000,一贴金色的膏药很多地方可以找到。#r#Y恢复#RHP+4000,,,,,,,,,,,,,,,,,,,,,,,,,,
115,羚羊角,115,0,0,MP=3000,西方灰白色的羊的角。#r#Y恢复#BMP+3000,,,,,,,,,,,,,,,,,,,,,,,,,,
116,紫石英,116,0,0,MP=3500,紫色的石英石，具有药性#r#Y恢复#BMP+3500,,,,,,,,,,,,,,,,,,,,,,,,,,
117,百兽灵丸,117,0,0,MP=4000,以百兽身上具有药性的部位精炼而成#r#Y恢复#BMP+4000,,,,,,,,,,,,,,,,,,,,,,,,,,
118,丹桂丸,118,0,0,HP=5000,用月宫的桂树为原料而制成。#r#Y恢复#RHP+5000,,,,,,,,,,,,,,,,,,,,,,,,,,
119,归神散,119,0,0,HP=5500,五庄观名药，可以补充较多HP。#r#Y恢复#RHP+5500,,,,,,,,,,,,,,,,,,,,,,,,,,
120,风水混元丹,120,0,0,HP=6000,用各类名贵药品精炼的丹药。#r#Y恢复#RHP+6000,,,,,,,,,,,,,,,,,,,,,,,,,,
121,定神香,121,0,0,MP=5000,名贵药物，精心炼成的丹药#r#Y恢复#BMP+5000,,,,,,,,,,,,,,,,,,,,,,,,,,
122,还灵水,122,0,0,MP=5500,龙宫的宝物之一#r#Y恢复#BMP+5500,,,,,,,,,,,,,,,,,,,,,,,,,,
123,灵翼天香,123,0,0,MP=6000,用天宫凤鸟的灵翼调制而成的药物#r#Y恢复#BMP+6000,,,,,,,,,,,,,,,,,,,,,,,,,,
124,灵芝,124,0,0,HP=1000,采天地灵气而生的药物，又称三秀。#r#Y恢复#RHP+1000,,,,,,,,,,,,,,,,,,,,,,,,,,
125,佛手,125,0,0,HP=1200,常见的普通药草。#r#Y恢复#RHP+1200,,,,,,,,,,,,,,,,,,,,,,,,,,
126,香叶,126,0,0,HP=1500,散发香气的药草叶子。#r#Y恢复#RHP+1500,,,,,,,,,,,,,,,,,,,,,,,,,,
127,羊脂仙露,127,0,0,MP=1000,仙草上的露草，犹如羊脂般晶莹。#r#Y恢复#BMP+1000,,,,,,,,,,,,,,,,,,,,,,,,,,
128,旋复花,128,0,0,MP=1200,产于东海海滨的药草。#r#Y恢复#BMP+1200,,,,,,,,,,,,,,,,,,,,,,,,,,
129,曼陀罗花,129,0,0,MP=1500,常用的药草之一。#r#Y恢复#BMP+1500,,,,,,,,,,,,,,,,,,,,,,,,,,
130,九转龙涎香,130,0,0,HP=1800,来自龙宫的药物。#r#Y恢复#RHP+1800,,,,,,,,,,,,,,,,,,,,,,,,,,
131,天龙水,131,0,0,HP=2000,天龙血炼成的药物。#r#Y恢复#RHP+2000,,,,,,,,,,,,,,,,,,,,,,,,,,
132,鬼切草,132,0,0,HP=2500,产自阴间的药草。#r#Y恢复#RHP+2500,,,,,,,,,,,,,,,,,,,,,,,,,,
133,仙狐涎,133,0,0,MP=1800,仙狐的涎水制成的药草。#r#Y恢复#BMP+1800,,,,,,,,,,,,,,,,,,,,,,,,,,
134,白药,134,0,0,MP=2000,云南产的止血良药。#r#Y恢复#BMP+2000,,,,,,,,,,,,,,,,,,,,,,,,,,
135,和合散,135,0,0,MP=2500,精细炼成的药粉。#r#Y恢复#BMP+2500,,,,,,,,,,,,,,,,,,,,,,,,,,
136,千年熊胆,136,0,0,HP%=60,千年熊罴胆，有极强治愈功效。#r#Y恢复#RHP+60%,,,,,,,,,,,,,,,,,,,,,,,,,,
137,仙鹿茸,137,0,0,HP%=65,西海之宝石，可以食用。#r#Y恢复#RHP+65%,,,,,,,,,,,,,,,,,,,,,,,,,,
138,海蓝石,138,0,0,HP%=70,西海之宝石，可以食用。#r#Y恢复#RHP+70%,,,,,,,,,,,,,,,,,,,,,,,,,,
139,玫瑰仙叶,139,0,0,MP%=60,仙宫玫瑰的叶子。#r#Y恢复#BMP+60%,,,,,,,,,,,,,,,,,,,,,,,,,,
140,修罗玉,140,0,0,MP%=65,仙家宝石，与修罗石分雄雌而生。#r#Y恢复#BMP+65%,,,,,,,,,,,,,,,,,,,,,,,,,,
141,夜叉石,141,0,0,MP%=70,仙家宝石，与夜叉石分雄雌而生。#r#Y恢复#BMP+70%,,,,,,,,,,,,,,,,,,,,,,,,,,
142,千年灵花,142,0,0,HP=10000,出自南方的千年野生茶花，吸取了日月精华。#r#Y恢复#RHP+10000,,,,,,,,,,,,,,,,,,,,,,,,,,
143,千年沉香,143,0,0,HP=12500,以三味真火炼制千年的灵药。#r#Y恢复#RHP+12500,,,,,,,,,,,,,,,,,,,,,,,,,,
144,青月灵草,144,0,0,HP=15000,月宫极其稀有的植物，有灵性。#r#Y恢复#RHP+15000,,,,,,,,,,,,,,,,,,,,,,,,,,
145,血烟石,145,0,0,MP=10000,龙宫不外传的宝物。#r#Y恢复#BMP+10000,,,,,,,,,,,,,,,,,,,,,,,,,,
146,火凤之睛,146,0,0,MP=12500,用凤凰之眼炼制而成。#r#Y恢复#BMP+12500,,,,,,,,,,,,,,,,,,,,,,,,,,
147,龙之心屑,147,0,0,MP=15000,用龙心提炼出的灵药。#r#Y恢复#BMP+15000,,,,,,,,,,,,,,,,,,,,,,,,,,
148,九花玉露丸,149,0,0,MP=17500,此药用珍异药材，以清晨九种花瓣上的露水调制而成。#r#Y恢复#BMP+17500,,,,,,,,,,,,,,,,,,,,,,,,,,
149,二十一味清目丸,148,0,0,MP=20000,茴香，甘草，余甘子等二十一味药炼制而成的名贵药品，可清肝明目。#r#Y恢复#BMP+20000,,,,,,,,,,,,,,,,,,,,,,,,,,
150,还我漂漂丹,150,113,0,,仙人们使用变幻术后，用来变回自己的样子的神丹。,,,,,,,,,,,,,,,,,,,,,,,,,,
159,清风白雪,168,0,2,HP=10000|MP=10000,海外仙境所生长的一种稀有仙草。#r#Y恢复#GHP+10000和MP+10000,,,,,,,,,,,,,,,,,,,,,,,,,,
160,白露为霜,169,0,2,HP=15000|MP=15000,五庄观前的千年仙松之枝。#r#Y恢复#GHP+15000和MP+15000,,,,,,,,,,,,,,,,,,,,,,,,,,
161,红雪散,170,0,2,HP=30000|MP=30000,仙家千年一遇的灵药，百炼而成。#r#Y恢复#GHP+30000和MP+30000,,,,,,,,,,,,,,,,,,,,,,,,,,
162,孔雀明王羽,171,0,2,HP=45000|MP=45000,孔雀大明王的羽毛。#r#Y恢复#GHP+45000和MP+45000,,,,,,,,,,,,,,,,,,,,,,,,,,
163,无常丹,172,0,0,HP=17500,外表猩红如血，疗伤有奇效，江湖人梦寐以求的良药。#r#Y恢复#RHP+17500,,,,,,,,,,,,,,,,,,,,,,,,,,
164,千年血参,173,0,0,HP=20000,一枝尺来长的雪白人参，宛然是成形的小儿模样，头身手足，无不具备，肌肤上隐隐泛着血色，有疗绝症，起死回生之功效。#r#Y恢复#RHP+20000,,,,,,,,,,,,,,,,,,,,,,,,,,
165,灵兽丹,200,2040,0,经验=100000,人界用来培养灵兽的奇怪药丸。#r #r#Y可以为召唤兽增加少量经验。,,,,,,,,,,,,,,,,,,,,,,,,,,
166,圣兽丹,201,2040,0,经验=400000,魔界用来培养圣兽的奇怪药丸。#r #r#Y可以为召唤兽增加较多经验。,,,,,,,,,,,,,,,,,,,,,,,,,,
167,神兽丹,202,2040,0,经验=1800000,天界用来培养灵兽的神奇丹药。#r #r#Y可以为召唤兽增加大量经验。,,,,,,,,,,,,,,,,,,,,,,,,,,
168,九转易筋丸,237,2043,0,,太上老君秘炼重宝。#r #r#Y可以让普通召唤兽脱胎换骨提升能力。,,,,,,,,,,,,,,,,,,,,,,,,,,
169,藏宝图,210,2051,0,,记载埋藏宝贝的藏宝图，说不定能得到好东西。,,,,,,,,,,,,,,,,,,,,,,,,,,
170,高级藏宝图,209,2052,0,,记载埋藏珍贵宝贝的高级藏宝图，说不定能得到高级东西。,,,,,,,,,,,,,,,,,,,,,,,,,,
171,见闻录,jwl,2053,0,,记有各地奇闻异事的一本书，听闻江湖百晓生专门收集此书。,,,,,,,,,,,,,,,,,,,,,,,,,,
172,蟠桃,203,2042,2,技能=60,一个又大又红的蟠桃，可以增加随机法术熟练。,,,,,,,,,,,,,,,,,,,,,,,,,,
173,蟠桃王,203,2042,2,技能=2000,又大又红的蟠桃鲜果，可以大量增加随机法术熟练！,,,,,,,,,,,,,,,,,,,,,,,,,,
174,天书残卷一,900,2070,0,,天界散落的残缺的天书，收集合成完整的一本会出现经文的神秘力量。,,,,,,,,,,,,,,,,,,,,,,,,,,
175,天书残卷二,900,2071,0,,天界散落的残缺的天书，收集合成完整的一本会出现经文的神秘力量。,,,,,,,,,,,,,,,,,,,,,,,,,,
176,天书残卷三,900,2072,0,,天界散落的残缺的天书，收集合成完整的一本会出现经文的神秘力量。,,,,,,,,,,,,,,,,,,,,,,,,,,
177,天书残卷四,900,2073,0,,天界散落的残缺的天书，收集合成完整的一本会出现经文的神秘力量。,,,,,,,,,,,,,,,,,,,,,,,,,,
178,天书残卷五,900,2074,0,,天界散落的残缺的天书，收集合成完整的一本会出现经文的神秘力量。,,,,,,,,,,,,,,,,,,,,,,,,,,
179,天书残卷六,900,2075,0,,天界散落的残缺的天书，收集合成完整的一本会出现经文的神秘力量。,,,,,,,,,,,,,,,,,,,,,,,,,,
180,天书残卷七,900,2076,0,,天界散落的残缺的天书，收集合成完整的一本会出现经文的神秘力量。,,,,,,,,,,,,,,,,,,,,,,,,,,
181,天书残卷八,900,2077,0,,天界散落的残缺的天书，收集合成完整的一本会出现经文的神秘力量。,,,,,,,,,,,,,,,,,,,,,,,,,,
182,天书残卷九,900,2078,0,,天界散落的残缺的天书，收集合成完整的一本会出现经文的神秘力量。,,,,,,,,,,,,,,,,,,,,,,,,,,
183,天书残卷十,900,2079,0,,天界散落的残缺的天书，收集合成完整的一本会出现经文的神秘力量。,,,,,,,,,,,,,,,,,,,,,,,,,,
184,新手人参果,204,2041,3,经验=100,五庄观的宝贝，吃下后可增加不少经验。#r#G使用后直接升至70级！,,,,,,,,,,,,,,,,,,,,,,,,,,
185,人参果,204,2041,3,经验=1800000,传说中吃下后可延年益寿、健体养颜的鲜果！#r #r#Y此果更是果中之王，可增加大量经验。,,,,,,,,,,,,,,,,,,,,,,,,,,
186,夜明珠,211,2100,0,,龙宫的宝物，价值连城。,,,,,,,,,,,,,,,,,,,,,,,,,,
187,月光宝盒,666,2101,0,,佛祖的宝贝，可以穿梭时空。,,,,,,,,,,,,,,,,,,,,,,,,,,
188,龙之骨,212,2113,2,,传说中龙的骨头，#r #r#Y召唤兽使用后可以得到能力的提升。,,,,,,,,,,,,,,,,,,,,,,,,,,
189,超级星梦石,214,2114,0,,出自月宫的灵石，具有驻颜的奇异功效#r #r#Y可以重置角色全部分配点。,,,,,,,,,,,,,,,,,,,,,,,,,,
190,混元丹,213,2115,0,,包容天地万象的神石，能点化早幻色丹本真#r #r#Y将其已分配属性点全部恢复为可重新自由分配。,,,,,,,,,,,,,,,,,,,,,,,,,,
191,神兽飞升丹,215,2116,0,,镇元大仙所炼制的丹药，能让神兽脱胎换骨飞越九重，使用后可让五常兽得到飞升。,,,,,,,,,,,,,,,,,,,,,,,,,,
192,冥钞,216,2117,0,,阴间的货币，随话说有钱能使鬼推磨，此话一点不假。,,,,,,,,,,,,,,,,,,,,,,,,,,
193,超级神兽丹,202,2040,0,经验=10000000,天界用来培养灵兽的神奇丹药。#r #r#Y可以为召唤兽增加大量经验。,,,,,,,,,,,,,,,,,,,,,,,,,,
194,超级人参果王,204-1,2041,1,经验=18000000,传说中吃下后可延年益寿、健体养颜的鲜果！#r #r#Y此果更是果中之王，可增加大量经验。,,,,,,,,,,,,,,,,,,,,,,,,,,
195,GM神兽丹,202,2040,1,经验=9999999999,天界用来培养灵兽的神奇丹药。#r #r#Y可以为召唤兽增加大量经验。,,,,,,,,,,,,,,,,,,,,,,,,,,
196,GM人参果,204,2041,1,经验=9999999999,传说中吃下后可延年益寿、健体养颜的鲜果！#r #r#Y此果更是果中之王，可增加大量经验。,,,,,,,,,,,,,,,,,,,,,,,,,,
197,精品亲密丹,742,715,2,亲密=1000000,南极仙翁采用多味罕见仙药精炼而成的灵丹，召唤兽使用后会产生一定的亲密度。#r #r#Y增加召唤兽1000000点,,,,,,,,,,,,,,,,,,,,,,,,,,
198,金风玉露,177,0,0,HP%=40|MP%=40,金风玉露一相逢，便胜却人间无数#r #r#Y增加HP=40%|MP%=40%,,,,,,,,,,,,,,,,,,,,,,,,,,
199,杜若无心,174,0,0,HP%=50|MP%=50,帘外春风杜若香，香在无心出#r #r#Y增加HP=50%|MP=50%,,,,,,,,,,,,,,,,,,,,,,,,,,
200,太乙玄黄丹,175,0,0,HP%=60|MP%=60,太乙玄黄，原始混沌，万物皆休，万物皆升#r #r#Y增加HP=60%|MP=60%,,,,,,,,,,,,,,,,,,,,,,,,,,
201,华韵流光,176,0,0,HP%=100|MP%=100,流光溢彩，华韵生辉，灼灼不似良药#r #r#Y增加HP=100%|MP=100%,,,,,,,,,,,,,,,,,,,,,,,,,,
203,孔明灯,217,2012,3,"传送=1207,长安城,4380,2960|可用次数=9",传说当年孔明被困城中时正是乘着这种天灯突围的！可以使用多次的飞行器！#r #r#Y可使用9次,,,,,,,,,,,,,,,,,,,,,,,,,,
204,内丹精华,219,497,0,,由召唤兽内丹转换而来的内丹精华，是专门用来炼化装备必备的上等材料。,,,,,,,,,,,,,,,,,,,,,,,,,,
205,血玲珑,221,499,0,,一颗具有神秘力量的血色七窍玲珑石。,,,,,,,,,,,,,,,,,,,,,,,,,,
206,九彩云龙珠,220,498,0,,八部天龙的内丹，传说藏于水晶宫海藏深处。,,,,,,,,,,,,,,,,,,,,,,,,,,
207,隐身药,801,1,0,隐身,战斗中使用可隐身3回合#r #r#Y战斗中使用可隐身3回合,,,,,,,,,,,,,,,,,,,,,,,,,,
208,火眼金睛,802,1,0,破隐,战斗内使用可以解除敌方全体隐身状态#r #r#Y战斗内使用可以解除敌方全体隐身状态,,,,,,,,,,,,,,,,,,,,,,,,,,
209,澄霜,803,1,0,清除异常状态,使用后有概率解除异常状态#r #r#Y使用后有概率解除异常状态,,,,,,,,,,,,,,,,,,,,,,,,,,
210,高级六脉化神丸,226,493,2,360,[制药业产品]#r【功效】在战斗结束后自动补充人物气血值。药品持续6小时消失。#r【备注】战斗外使用#r【备注】可叠加,,,,,,,,,,,,,,,,,,,,,,,,,,
211,高级玉枢返虚丸,227,492,2,360,[制药业产品]#r【功效】在战斗结束后自动补充人物法力值。药品持续6小时消失。#r【备注】战斗外使用#r【备注】可叠加,,,,,,,,,,,,,,,,,,,,,,,,,,
212,悔梦石,238,212,0,,能够同时改变仙器的种类和属性的灵石，据说该灵石只有在崔无眠手里才能发挥作用。#r#Y随机改变仙器的#G种类#Y属性随机#r#Y快捷操作-选择#R仙器打造--重铸仙器,,,,,,,,,,,,,,,,,,,,,,,,,,
213,特赦令,499,213,0,,唐王颁布的特赦令，用来赦免罪行。,,,,,,,,,,,,,,,,,,,,,,,,,,
216,超级六脉化神丸,226,493,3,1440,[制药业产品]#r【功效】在战斗结束后自动补充人物气血值。药品持续24小时消失。#r【备注】战斗外使用#r【备注】可叠加,,,,,,,,,,,,,,,,,,,,,,,,,,
217,超级玉枢返虚丸,227,492,3,1440,[制药业产品]#r【功效】在战斗结束后自动补充人物法力值。药品持续24小时消失。#r【备注】战斗外使用#r【备注】可叠加,,,,,,,,,,,,,,,,,,,,,,,,,,
218,GM坐骑经验丹,805,801,0,经验=150000,天界用来培养神宠的神奇丹药，可以为坐骑直接满级。#r #r#Y当前坐骑经验+150000,,,,,,,,,,,,,,,,,,,,,,,,,,
219,GM坐骑熟练丹,806,802,0,熟练度=100000,神奇的丹药，可以为坐骑技能直接满熟练。#r #r#Y当前坐骑熟练+100000,,,,,,,,,,,,,,,,,,,,,,,,,,
220,超级乾灵聚元丹,qljy,1002,2,经验=80000,凝结法宝道行的神奇丹药，可以增加灵宝或法宝的道行！#r#Y灵宝法宝经验+80000,,,,,,,,,,,,,,,,,,,,,,,,,,
221,超级翅膀精华,cbjh,8891,2,经验=50000,用于增加翅膀经验，唯一指定增加50000点翅膀经验。,,,,,,,,,,,,,,,,,,,,,,,,,,
222,高级翅膀精华,cbjh,8891,2,经验=10000,用于增加翅膀经验，唯一指定增加10000点翅膀经验。,,,,,,,,,,,,,,,,,,,,,,,,,,
223,六脉化神丸,226,493,3,60,[制药业产品]#r【功效】在战斗结束后自动补充人物气血值。药品持续1小时消失。#r【备注】战斗外使用#r【备注】可叠加,,,,,,,,,,,,,,,,,,,,,,,,,,
224,高级乾灵聚元丹,qljy,1002,2,经验=1800,凝结法宝道行的神奇丹药，可以增加灵宝或法宝的道行！,,,,,,,,,,,,,,,,,,,,,,,,,,
225,玉枢返虚丸,227,492,3,60,[制药业产品]#r【功效】在战斗结束后自动补充人物法力值。药品持续1小时消失。#r【备注】战斗外使用#r【备注】可叠加,,,,,,,,,,,,,,,,,,,,,,,,,,
226,五行化金符文,8839,112,2,强力克金=100,日君诀，月君决，正襟危坐。#r#c33FFFF功效：#G提高100%强力克金#r#c33FFFF类型：#G强法型#r#c33FFFF提示：#G时效1小时,,,,,,,,,,,,,,,,,,,,,,,,,,
227,五行破木符文,8839,112,2,强力克木=100,日君诀，月君决，正襟危坐。#r#c33FFFF功效：#G提高100%强力克木#r#c33FFFF类型：#G强法型#r#c33FFFF提示：#G时效1小时,,,,,,,,,,,,,,,,,,,,,,,,,,
228,五行碎土符文,8839,112,2,强力克土=100,日君诀，月君决，正襟危坐。#r#c33FFFF功效：#G提高100%强力克土#r#c33FFFF类型：#G强法型#r#c33FFFF提示：#G时效1小时,,,,,,,,,,,,,,,,,,,,,,,,,,
229,五行腐水符文,8839,112,2,强力克水=100,日君诀，月君决，正襟危坐。#r#c33FFFF功效：#G提高100%强力克水#r#c33FFFF类型：#G强法型#r#c33FFFF提示：#G时效1小时,,,,,,,,,,,,,,,,,,,,,,,,,,
230,五行驭火符文,8839,112,2,强力克火=100,日君诀，月君决，正襟危坐。#r#c33FFFF功效：#G提高100%强力克火#r#c33FFFF类型：#G强法型#r#c33FFFF提示：#G时效1小时,,,,,,,,,,,,,,,,,,,,,,,,,,
231,震慑之水晶符文,8800,112,2,加强震慑=10,日君诀，月君决，正襟危坐。#r#c33FFFF功效：#G加强震慑10%#r#c33FFFF类型：#G强法型#r#c33FFFF提示：#G时效1小时,,,,,,,,,,,,,,,,,,,,,,,,,,
232,盘丝之水晶符文,8801,112,2,加强防御法术效果=5,日君诀，月君决，正襟危坐。#r#c33FFFF功效：#G加强防御法术5%#r#c33FFFF类型：#G强法型#r#c33FFFF提示：#G时效1小时,,,,,,,,,,,,,,,,,,,,,,,,,,
233,强力之水晶符文,8802,112,2,加强攻击法术效果=10,日君诀，月君决，正襟危坐。#r#c33FFFF功效：#G加强攻击法术10%#r#c33FFFF类型：#G强法型#r#c33FFFF提示：#G时效1小时,,,,,,,,,,,,,,,,,,,,,,,,,,
234,刹那之水晶符文,8803,112,2,加强速度法术效果=10,日君诀，月君决，正襟危坐。#r#c33FFFF功效：#G加强速度法术10%#r#c33FFFF类型：#G强法型#r#c33FFFF提示：#G时效1小时,,,,,,,,,,,,,,,,,,,,,,,,,,
235,狂风符纸,8804,112,2,加强风=10,日君诀，月君决，正襟危坐。#r#c33FFFF功效：#G加强风10%#r#c33FFFF类型：#G强法型#r#c33FFFF提示：#G时效1小时,,,,,,,,,,,,,,,,,,,,,,,,,,
236,怒雷符纸,8805,112,2,加强雷=10,日君诀，月君决，正襟危坐。#r#c33FFFF功效：#G加强雷10%#r#c33FFFF类型：#G强法型#r#c33FFFF提示：#G时效1小时,,,,,,,,,,,,,,,,,,,,,,,,,,
237,奔流符纸,8806,112,2,加强水=10,日君诀，月君决，正襟危坐。#r#c33FFFF功效：#G加强水10%#r#c33FFFF类型：#G强法型#r#c33FFFF提示：#G时效1小时,,,,,,,,,,,,,,,,,,,,,,,,,,
238,天火符纸,8807,112,2,加强火=10,日君诀，月君决，正襟危坐。#r#c33FFFF功效：#G加强火10%#r#c33FFFF类型：#G强法型#r#c33FFFF提示：#G时效1小时,,,,,,,,,,,,,,,,,,,,,,,,,,
239,遗忘之绫绡符文,8808,112,2,加强遗忘=10,日君诀，月君决，正襟危坐。#r#c33FFFF功效：#G加强遗忘10%#r#c33FFFF类型：#G强法型#r#c33FFFF提示：#G时效1小时,,,,,,,,,,,,,,,,,,,,,,,,,,
240,鬼火之绫绡符文,8809,112,2,加强鬼火=10,日君诀，月君决，正襟危坐。#r#c33FFFF功效：#G加强鬼火10%#r#c33FFFF类型：#G强法型#r#c33FFFF提示：#G时效1小时,,,,,,,,,,,,,,,,,,,,,,,,,,
241,珊瑚怨气符文,yqf,112,0,怨气受击回复=50,祝高完毕，吹气于符，【功效】每次受攻击获得额外50怨气【类型】强法型【提醒】不可以与其他符文或者变身卡同时使用。【持续时间一小时】,,,,,,,,,,,,,,,,,,,,,,,,,,
242,三尸之绫绡符文,8811,112,2,加强三尸虫=2000,日君诀，月君决，正襟危坐。#r#c33FFFF功效：#G三尸伤害2000#r#c33FFFF类型：#G强法型#r#c33FFFF提示：#G时效1小时,,,,,,,,,,,,,,,,,,,,,,,,,,
243,三尸鹿皮符,8812,112,2,加强三尸虫回血程度=20,日君诀，月君决，正襟危坐。#r#c33FFFF功效：#G三尸回血程度20%#r#c33FFFF类型：#G强法型#r#c33FFFF提示：#G时效1小时,,,,,,,,,,,,,,,,,,,,,,,,,,
244,封印之琅琊符文,8817,112,2,加强封印=10,日君诀，月君决，正襟危坐。#r#c33FFFF功效：#G加强封印10%#r#c33FFFF类型：#G强法型#r#c33FFFF提示：#G时效1小时,,,,,,,,,,,,,,,,,,,,,,,,,,
245,失心之琅琊符文,8818,112,2,加强混乱=10,日君诀，月君决，正襟危坐。#r#c33FFFF功效：#G加强混乱10%#r#c33FFFF类型：#G强法型#r#c33FFFF提示：#G时效1小时,,,,,,,,,,,,,,,,,,,,,,,,,,
246,入梦之琅琊符文,8819,112,2,加强昏睡=10,日君诀，月君决，正襟危坐。#r#c33FFFF功效：#G加强昏睡10%#r#c33FFFF类型：#G强法型#r#c33FFFF提示：#G时效1小时,,,,,,,,,,,,,,,,,,,,,,,,,,
247,浸毒之琅琊符文,8820,112,2,加强毒伤害=10,日君诀，月君决，正襟危坐。#r#c33FFFF功效：#G加强毒伤害10%#r#c33FFFF类型：#G强法型#r#c33FFFF提示：#G时效1小时,,,,,,,,,,,,,,,,,,,,,,,,,,
248,浸毒之珊瑚符文,8821,112,2,加强中毒=10,日君诀，月君决，正襟危坐。#r#c33FFFF功效：#G加强中毒10%#r#c33FFFF类型：#G强法型#r#c33FFFF提示：#G时效1小时,,,,,,,,,,,,,,,,,,,,,,,,,,
249,分裂攻击符,8815,112,2,技能=1832,日君诀，月君决，正襟危坐。#r#c33FFFF功效：#G物理攻击33%几率加一个目标#r#c33FFFF类型：#G强法型#r#c33FFFF提示：#G时效1小时,,,,,,,,,,,,,,,,,,,,,,,,,,
250,震慑之云母符文,8822,112,2,忽视抗震慑=5,天纲决，绕炉烟。#r#c33FFFF功效：#G忽视震慑5%#r#c33FFFF类型：#G强法型#r#c33FFFF提示：#G时效1小时,,,,,,,,,,,,,,,,,,,,,,,,,,
251,盘丝之云母符文,8823,112,2,加强防御法术效果=10,天纲决，绕炉烟。#r#c33FFFF功效：#G加强防御法术10%#r#c33FFFF类型：#G强法型#r#c33FFFF提示：#G时效1小时,,,,,,,,,,,,,,,,,,,,,,,,,,
252,强力之云母符文,8824,112,2,加强攻击法术效果=15,天纲决，绕炉烟。#r#c33FFFF功效：#G加强攻击法术15%#r#c33FFFF类型：#G强法型#r#c33FFFF提示：#G时效1小时,,,,,,,,,,,,,,,,,,,,,,,,,,
253,刹那之云母符文,8825,112,2,加强速度法术效果=15,天纲决，绕炉烟。#r#c33FFFF功效：#G加强速度法术15%#r#c33FFFF类型：#G强法型#r#c33FFFF提示：#G时效1小时,,,,,,,,,,,,,,,,,,,,,,,,,,
254,狂风符刻,8830,112,2,忽视抗风=10,天纲决，绕炉烟。#r#c33FFFF功效：#G忽视抗风10%#r#c33FFFF类型：#G强法型#r#c33FFFF提示：#G时效1小时,,,,,,,,,,,,,,,,,,,,,,,,,,
255,怒雷符刻,8831,112,2,忽视抗雷=10,天纲决，绕炉烟。#r#c33FFFF功效：#G忽视抗雷10%#r#c33FFFF类型：#G强法型#r#c33FFFF提示：#G时效1小时,,,,,,,,,,,,,,,,,,,,,,,,,,
256,奔流符刻,8832,112,2,忽视抗水=10,天纲决，绕炉烟。#r#c33FFFF功效：#G忽视抗水10%#r#c33FFFF类型：#G强法型#r#c33FFFF提示：#G时效1小时,,,,,,,,,,,,,,,,,,,,,,,,,,
257,天火符刻,8833,112,2,忽视抗火=10,天纲决，绕炉烟。#r#c33FFFF功效：#G忽视抗火10%#r#c33FFFF类型：#G强法型#r#c33FFFF提示：#G时效1小时,,,,,,,,,,,,,,,,,,,,,,,,,,
258,遗忘之夜明符文,8826,112,2,忽视遗忘=5,天纲决，绕炉烟。#r#c33FFFF功效：#G忽视遗忘5%#r#c33FFFF类型：#G强法型#r#c33FFFF提示：#G时效1小时,,,,,,,,,,,,,,,,,,,,,,,,,,
259,鬼火之夜明符文,8827,112,2,忽视鬼火=10,天纲决，绕炉烟。#r#c33FFFF功效：#G忽视鬼火10%#r#c33FFFF类型：#G强法型#r#c33FFFF提示：#G时效1小时,,,,,,,,,,,,,,,,,,,,,,,,,,
